id_envio ,nombre_producto,id_camion,zona_destino,km_recorridos,tipo_entrega
4,Televisor,1,caba,90,2,0
5,Pendrive,4,caba,58,0,0
7,Radio,2,caba,69,2,0
24,Cocina,7,caba,83,1,0
29,Lavarropas,4,caba,116,0,0
32,Cocina,1,caba,11,1,0
33,Cocina,4,caba,19,2,0
41,Televisor,5,caba,66,1,0
46,Radio,6,caba,91,1,0
47,Cocina,3,caba,64,2,0
58,Radio,6,caba,67,0,0
62,Plancha,3,caba,103,0,0
64,Licuadora,5,caba,75,2,0
71,Lavarropas,6,caba,99,2,0
72,Radio,7,caba,89,2,0
77,Licuadora,7,caba,68,0,0
80,Plancha,1,caba,118,2,0
81,Licuadora,7,caba,91,1,0
85,Plancha,7,caba,76,2,0
93,Pendrive,1,caba,17,0,0
97,Radio,3,caba,109,2,0
99,Cocina,2,caba,85,1,0
102,Cocina,5,caba,77,2,0
113,Cocina,2,caba,60,2,0
115,Licuadora,1,caba,114,0,0
121,Pendrive,3,caba,104,2,0
126,Cocina,3,caba,94,1,0
143,Plancha,1,caba,62,0,0
149,Lavarropas,6,caba,94,1,0
163,Pendrive,2,caba,51,2,0
166,Cocina,1,caba,52,2,0
178,Cocina,2,caba,85,2,0
181,Lavarropas,2,caba,103,1,0
187,Televisor,2,caba,73,1,0
193,Televisor,7,caba,31,0,0
198,Cocina,7,caba,59,0,0
