id_envio ,nombre_producto,id_camion,zona_destino,km_recorridos,tipo_entrega
8,Radio,5,quilmes,79,1,8320
9,Lavarropas,4,quilmes,47,2,7325
15,Televisor,2,quilmes,90,0,9350
16,Plancha,1,quilmes,68,1,7220
18,Licuadora,5,quilmes,84,1,8820
19,Radio,7,quilmes,90,1,9420
20,Radio,3,quilmes,40,2,6275
31,Radio,3,quilmes,42,0,6650
35,Lavarropas,6,quilmes,98,0,10150
43,Cocina,7,quilmes,104,2,10675
49,Pendrive,4,quilmes,59,1,6320
67,Cocina,4,quilmes,96,2,9875
78,Pendrive,4,quilmes,102,2,10475
79,Pendrive,6,quilmes,59,1,6320
89,Licuadora,7,quilmes,37,1,5970
96,Televisor,2,quilmes,117,1,12120
98,Pendrive,2,quilmes,84,1,8820
107,Pendrive,3,quilmes,76,2,7875
108,Pendrive,6,quilmes,115,0,11850
110,Plancha,1,quilmes,106,2,10875
122,Radio,7,quilmes,55,0,5850
128,Cocina,7,quilmes,111,0,11450
139,Televisor,7,quilmes,117,0,12050
140,Lavarropas,6,quilmes,111,2,11375
142,Pendrive,2,quilmes,34,0,5450
147,Televisor,7,quilmes,113,1,11720
150,Radio,1,quilmes,92,1,9620
153,Pendrive,4,quilmes,73,2,7575
154,Radio,2,quilmes,11,1,2070
164,Lavarropas,1,quilmes,19,2,3125
167,Radio,3,quilmes,96,0,9950
171,Televisor,6,quilmes,38,2,5975
174,Plancha,3,quilmes,99,1,10320
175,Cocina,1,quilmes,87,2,8975
176,Licuadora,3,quilmes,61,0,6450
188,Televisor,5,quilmes,114,1,11820
189,Licuadora,5,quilmes,59,2,6175
191,Cocina,7,quilmes,75,0,7850
200,Televisor,1,quilmes,36,2,5675
127,Plancha,5,lanus,81,1,8520
68,Licuadora,7,lanus,58,1,6220
133,Cocina,1,lanus,49,1,7770
137,Televisor,4,lanus,51,2,5375
69,Lavarropas,2,lanus,102,0,10550
73,Radio,2,lanus,43,2,6725
76,Pendrive,3,lanus,74,0,7750
144,Plancha,4,lanus,61,2,6375
34,Lavarropas,7,lanus,100,1,10420
148,Pendrive,6,lanus,104,0,10750
3,Cocina,6,lanus,18,2,2975
39,Lavarropas,7,lanus,113,1,11720
17,Plancha,7,lanus,36,0,5750
155,Lavarropas,5,lanus,114,1,11820
156,Cocina,5,lanus,25,2,4025
157,Televisor,7,lanus,22,1,3720
159,Lavarropas,1,lanus,110,1,11420
25,Licuadora,7,lanus,74,2,7675
105,Lavarropas,5,lanus,27,1,4470
59,Licuadora,6,lanus,79,1,8320
172,Licuadora,1,lanus,79,2,8175
61,Cocina,1,lanus,91,0,9450
109,Lavarropas,6,lanus,25,2,4025
66,Pendrive,2,lanus,43,0,6800
179,Televisor,2,lanus,102,0,10550
182,Licuadora,5,lanus,69,1,7320
184,Televisor,7,lanus,46,0,7250
112,Plancha,4,lanus,102,2,10475
116,Televisor,4,lanus,60,2,6275
1,Pendrive,2,lanus,63,1,6720
196,Plancha,6,lanus,38,1,6120
123,Pendrive,5,lanus,27,1,4470
81,Licuadora,7,caba,91,1,9520
85,Plancha,7,caba,76,2,7875
143,Plancha,1,caba,62,0,6550
58,Radio,6,caba,67,0,7050
93,Pendrive,1,caba,17,0,2900
32,Cocina,1,caba,11,1,2070
149,Lavarropas,6,caba,94,1,9820
97,Radio,3,caba,109,2,11175
33,Cocina,4,caba,19,2,3125
99,Cocina,2,caba,85,1,8920
102,Cocina,5,caba,77,2,7975
62,Plancha,3,caba,103,0,10650
64,Licuadora,5,caba,75,2,7775
5,Pendrive,4,caba,58,0,6150
163,Pendrive,2,caba,51,2,5375
24,Cocina,7,caba,83,1,8720
166,Cocina,1,caba,52,2,5475
7,Radio,2,caba,69,2,7175
41,Televisor,5,caba,66,1,7020
113,Cocina,2,caba,60,2,6275
115,Licuadora,1,caba,114,0,11750
71,Lavarropas,6,caba,99,2,10175
121,Pendrive,3,caba,104,2,10675
178,Cocina,2,caba,85,2,8775
72,Radio,7,caba,89,2,9175
181,Lavarropas,2,caba,103,1,10720
29,Lavarropas,4,caba,116,0,11950
126,Cocina,3,caba,94,1,9820
187,Televisor,2,caba,73,1,7720
46,Radio,6,caba,91,1,9520
77,Licuadora,7,caba,68,0,7150
47,Cocina,3,caba,64,2,6675
193,Televisor,7,caba,31,0,5000
4,Televisor,1,caba,90,2,9275
198,Cocina,7,caba,59,0,6250
80,Plancha,1,caba,118,2,12075
132,Licuadora,7,bandfield,102,1,10620
84,Cocina,4,bandfield,90,0,9350
134,Radio,5,bandfield,77,0,8050
136,Pendrive,5,bandfield,61,0,6450
6,Radio,2,bandfield,25,2,4025
88,Cocina,1,bandfield,52,2,5475
21,Licuadora,2,bandfield,85,0,8850
